mode,ts,elapsed_s,waiting,stale,source
OFF,1789150151.6272368,23.16249179840088,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150151.8769052,23.41216015815735,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150152.1267412,23.661996126174927,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150152.3775527,23.91280770301819,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150152.6278515,24.163106441497803,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150152.8784218,24.413676738739014,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150153.1286225,24.663877487182617,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150153.3786607,24.913915634155273,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150153.6295683,25.164823293685913,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150153.880418,25.41567301750183,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150154.1298432,25.665098190307617,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150154.3816214,25.916876316070557,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150154.6317508,26.16700577735901,18.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150154.8818378,26.41709280014038,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150155.1324267,26.66768169403076,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150155.38168,26.916934967041016,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150155.6322584,27.167513370513916,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150155.8835933,27.418848276138306,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150156.1337755,27.66903042793274,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150156.3837073,27.918962240219116,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150156.6341555,28.169410467147827,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150156.8836827,28.41893768310547,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150157.1337986,28.669053554534912,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150157.384656,28.91991090774536,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150157.63493,29.17018485069275,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150157.8882458,29.423500776290894,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150158.13862,29.673874855041504,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150158.3901527,29.925407648086548,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150158.6406057,30.17586064338684,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150158.8907406,30.425995588302612,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150159.1413076,30.676562547683716,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150159.3910325,30.926287412643433,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150159.6416442,31.176899194717407,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150159.8921773,31.42743229866028,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150160.1426122,31.67786717414856,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150160.3936749,31.928929805755615,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150160.6444452,32.17970013618469,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150160.894783,32.43003797531128,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150161.1436703,32.67892527580261,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150161.3952322,32.93048715591431,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150161.6452217,33.180476665496826,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150161.8951645,33.43041944503784,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150162.146539,33.68179392814636,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150162.3972495,33.932504415512085,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150162.646727,34.18198204040527,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150162.896817,34.432071924209595,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150163.1476724,34.68292737007141,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150163.399113,34.93436789512634,20.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150163.650378,35.185632944107056,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150163.8996813,35.43493628501892,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150164.1507392,35.685994148254395,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150164.402547,35.93780183792114,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150164.6533387,36.18859362602234,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150164.9034653,36.43872022628784,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150165.1543078,36.68956279754639,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150165.404608,36.939862966537476,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150165.6551423,37.19039726257324,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150165.9047892,37.44004416465759,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
